Symbol,Name,Inception,Structure,Tracks This Index,Index Description,Category,Provider,Expense Ratio,Dividend,Div Yield,Market Cap (millions),Shares (millions),Avg Vol,Beta,Asset Class,Asset Class Size,Asset Class Style,Region,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Health Care,Industrials,Real Estate,Technology,Utilities,Leveraged,Inverse,Top Holdings,Chart,,,,,,,,,,,,,
DBB,DB Base Metals Fund,2007-01-05,Commodity Pool,DBIQ Optimum Yield Industrial Metals Index Excess Return,"The DBIQ Optimum Yield Industrial Metals Index Excess Return is a rules-based index composed of futures contracts on some of the most liquid and widely used base metals: aluminum, zinc and copper (grade A). The index is intended to reflect the performance of the industrial metals sector.",Metals,Invesco PowerShares,0.78%,$0.28,,$236.00 ,14," 	111,959 ", 	1.14 ,Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
DBC,DB Commodity Index Tracking Fund,2006-02-03,Commodity Pool,DBIQ Optimum Yield Diversified Commodity Index Excess Return,The DBIQ Optimum Yield Diversified Commodity Index Excess Return is a rules-based index composed of futures contracts on 14 of the most heavily-traded and important physical commodities in the world.,Commodities,Invesco PowerShares,0.93%,$0.34,,"$5,535.80 ",215.4," 	2,319,320 ", 	0.76 ,Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
DBE,DB Energy Fund,2007-01-05,Commodity Pool,DBIQ Optimum Yield Energy Index Excess Return,The DBIQ Optimum Yield Energy Index Excess Return is a rules-based index composed of futures contracts on some of the most heavily traded energy commodities in the world: Light Sweet Crude Oil (WTI); Heating Oil; Brent Crude Oil; RBOB Gasoline; and Natural Gas. The Index is intended to reflect the performance of the energy sector.,Oil &amp; Gas,Invesco PowerShares,0.78%,$0.90,,$270.70 ,9.2," 	56,266 ", 	1.12 ,Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
DBEF,MSCI EAFE Hedged Equity Fund,2011-06-09,ETF,MSCI EAFE US Dollar Hedged Index,"The index is designed to provide exposure to equity securities in developed international stock markets, while at the same time mitigating exposure to fluctuations between the value of the U.S. dollar and non-U.S. currencies. The index currently includes securities from the following 22 countries: Australia, Austria, Belgium, Denmark, Finland, France, Germany, Greece, Hong Kong, Ireland, Israel, Italy, Japan, Netherlands, New Zealand, Norway, Portugal, Singapore, Spain, Sweden, Switzerland and the United Kingdom.",Foreign Large Cap Equities,Deutsche Asset &amp; Wealth Management,0.36%,$0.41,1.50%,$256.50 ,9.5," 	87,248 ", 	1.22 ,Equity,,,Developed Markets,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
DBEM,MSCI Emerging Markets Equity Fund,2011-06-09,ETF,MSCI EM US Dollar Hedged Index,"The index is designed to provide exposure to equity securities in the global emerging markets, while at the same time mitigating exposure to fluctuations between the value of the U.S. dollar and non-U.S. currencies. Currently, the index includes securities from the following 21 countries: Brazil, Chile, China, Colombia, Czech Republic, Egypt, Hungary, India, Indonesia, South Korea, Malaysia, Mexico, Morocco, Peru, Philippines, Poland, Russia, South Africa, Taiwan, Thailand and Turkey.",Emerging Markets Equities,Deutsche Asset &amp; Wealth Management,0.69%,$0.05,2.02%,$22.40 ,1.1," 	8,267 ", 	(1.86),Equity,,,Emerging Markets,11.09%,8.47%,5.85%,7.43%,11.16%,23.78%,0.99%,5.01%,1.35%,15.94%,3.78%,,,click,click,,,,,,,,,,,,,
DBEU,MSCI Europe Hedged Equity Fund,2013-10-01,ETF,MSCI Europe US Dollar Hedged Index,"The index is designed to provide exposure to equity securities in developed stock markets in Europe, while at the same time mitigating exposure to fluctuations between the value of the U.S. dollar and selected non-U.S. currencies.",Europe Equities,Deutsche Asset &amp; Wealth Management,0.45%,$0.24,0.67%,$252.00 ,7,, 	1.09 ,Equity,,,Developed Europe,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
DBGR,db X-trackers MSCI Germany Hedged Equity Fund,2013-05-31,ETF,MSCI Germany U.S. Dollar Hedged Index,"The index measures the performance of the large and mid cap segments of the German market. With 51 constituents, the Index covers approximately 85% of the equity universe in Germany.",Europe Equities,Deutsche Asset &amp; Wealth Management,1.04%,$0.85,3.30%,$20.70 ,0.8," 	10,109 ", 	1.15 ,Equity,,,Developed Europe,15.42%,4.22%,18.38%,3.67%,0.00%,16.57%,12.43%,11.72%,0.00%,7.25%,4.49%,,,click,click,,,,,,,,,,,,,
DBJP,MSCI Japan Hedged Equity Fund,2011-06-09,ETF,MSCI Japan US Dollar Hedged Index,"The index is designed to provide exposure to Japanese equity markets, while at the same time mitigating exposure to fluctuations between the value of the U.S. dollar and Japanese yen.",Japan Equities,Deutsche Asset &amp; Wealth Management,0.51%,$0.09,1.87%,$347.50 ,9.2," 	132,205 ", 	2.04 ,Equity,,,Developed Asia Pacific,7.53%,4.61%,20.33%,6.21%,1.13%,14.88%,5.94%,18.08%,4.68%,11.78%,2.97%,,,click,click,,,,,,,,,,,,,
DBO,DB Oil Fund,2007-01-05,Commodity Pool,DBIQ Optimum Yield Crude Oil Index Excess Return,The DBIQ Optimum Yield Crude Oil Index Excess Return is a rules-based index composed of futures contracts on Light Sweet Crude Oil (WTI) and is intended to reflect the performance of crude oil.,Oil &amp; Gas,Invesco PowerShares,0.79%,$1.28,,$312.50 ,11.2," 	82,423 ", 	1.07 ,Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
DBP,DB Precious Metals Fund,2007-01-05,Commodity Pool,DBIQ Optimum Yield Precious Metals Index Excess Return,"The DBIQ Optimum Yield Precious Metals Index Excess Return is a rules-based index composed of futures contracts on two of the most important precious metals, gold and silver. The index is intended to reflect the performance of the precious metals sector.",Precious Metals,Invesco PowerShares,0.79%,$0.60,,$182.90 ,4.6," 	42,331 ", 	(2.14),Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
DBS,DB Silver Fund,2007-01-05,Commodity Pool,DBIQ Optimum Yield Silver Index Excess Return,The DBIQ Optimum Yield Silver Index Excess Return is a rules-based index composed of futures contracts on silver and is intended to reflect the performance of silver.,Precious Metals,Invesco PowerShares,0.79%,$0.87,,$33.40 ,1," 	7,866 ", 	(3.08),Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
DBV,DB G10 Currency Harvest,2006-09-18,Commodity Pool,Deutsche Bank G10 Currency Future Harvest Index - Excess Return,"The Index is comprised of currency futures contracts on certain G10 currencies and is designed to exploit the trend that currencies associated with relatively high interest rates, on average, tend to rise in value relative to currencies associated with relatively low interest rates.",Currency,Invesco PowerShares,0.81%,$0.27,,$282.70 ,11.2," 	73,661 ", 	(0.76),Currency,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
DDI,International Industrial Sector Fund,2006-10-13,,WisdomTree International Industrial Sector Index,"The WisdomTree International Industrial Sector Index is derived from the WisdomTree DEFA. It measures the performance of dividend-paying companies in developed markets outside of the U.S. and Canada within the &quot;International Industrial&quot; sector. Companies are weighted in the Index based on regular cash dividends paid. The Index includes companies from the following industries: machinery, construction &amp; engineering, industrial conglomerates, transportation infrastructure, electrical equipment, airlines, building products, commercial services &amp; supplies, air freight &amp; logistics, aerospace &amp; defense, metals &amp; mining, marine, road &amp; rail, food &amp; staples retailing, chemicals, and containers &amp; packaging.",Industrials Equities,WisdomTree,0.58%,,,$0.00 ,0,,,Equity,,,Developed Markets,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
DDM,Ultra Dow30,2006-06-19,ETF,Dow Jones Industrial Average Index (200%),The Dow Jones Industrial Average is a price-weighted index of 30 &quot;blue-chip&quot; U.S. stocks. It is the oldest continuing U.S. market index.,Leveraged Equities,ProShares,0.95%,$0.15,0.36%,$290.20 ,2.6," 	263,689 ", 	1.87 ,Equity,Mega-Cap,Blend,North America,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
DDP,DB Commodity Short ETN,2008-04-28,ETN,Deutsche Bank Liquid Commodity Index (-100%),"The index is designed to reflect the performance of certain wheat, corn, light sweet crude oil, heating oil, gold and aluminum futures contracts plus the returns from investing in 3 month United States Treasury Bills.",Inverse Commodities,Invesco PowerShares,0.75%,,,$6.10 ,0.2," 	1,900 ", 	(3.14),Commodity,,,,,,,,,,,,,,,,Yes,click,click,,,,,,,,,,,,,
DEE,DB Commodity Double Short ETN,2008-04-28,ETN,Deutsche Bank Liquid Commodity Index (-200%),"The index is designed to reflect the performance of certain wheat, corn, light sweet crude oil, heating oil, gold and aluminum futures contracts plus the returns from investing in 3 month United States Treasury Bills.",Leveraged Commodities,Invesco PowerShares,0.75%,,,$2.80 ,0.1," 	2,872 ", 	4.55 ,Commodity,,,,,,,,,,,,,,,2x,Yes,click,click,,,,,,,,,,,,,
DEF,Defensive Equity ETF,2006-12-15,ETF,Sabrient Defensive Equity Index,"The Index seeks to identify companies with potentially superior risk/return profiles, as determined by Sabrient Systems, LLC, the Fund's index provider, during periods of weakness in the markets and/or the American economy overall. The Index is designed to actively represent a group of securities that reflect occurrences such as low relative valuations, conservative accounting, dividend payments and a history of out-performance during bearish market periods.",Large Cap Value Equities,Guggenheim,0.60%,$0.75,2.19%,$131.10 ,3.9," 	24,481 ", 	(1.03),Equity,Large-Cap,Value,Global,0.00%,14.05%,6.28%,13.93%,14.60%,8.08%,6.21%,6.33%,2.86%,7.04%,20.63%,,,click,click,,,,,,,,,,,,,
DEM,Emerging Markets Equity Income Fund,2007-07-13,ETF,WisdomTree Emerging Markets Equity income Index,The WisdomTree Emerging Markets Equity income Index is a fundamentally weighted index that measures the performance of the highest dividend yielding stocks selected from the WisdomTree Emerging Markets Dividend Index.,Emerging Markets Equities,WisdomTree,0.63%,$0.78,4.06%,"$4,639.60 ",92," 	735,612 ", 	(1.65),Equity,,,Emerging Markets,18.25%,17.39%,4.11%,2.00%,17.86%,24.01%,0.03%,2.66%,1.28%,5.92%,6.20%,,,click,click,,,,,,,,,,,,,
DES,SmallCap Dividend Fund,2006-06-16,ETF,WisdomTree SmallCap Dividend Index,"The WisdomTree SmallCap Dividend Index is a fundamentally weighted index measuring the performance of the small-capitalization segment of the US dividend-paying market. The Index is comprised of the companies that compose the bottom 25% of the market capitalization of the WisdomTree Dividend Index after the 300 largest companies have been removed. The index is dividend weighted annually to reflect the proportionate share of the aggregate cash dividends each component company is projected to pay in the coming year, based on the most recently declared dividend per share.",Small Cap Value Equities,WisdomTree,0.38%,$0.14,2.44%,"$1,044.00 ",15.4," 	64,944 ", 	1.31 ,Equity,Small-Cap,Value,North America,7.34%,2.40%,14.08%,6.33%,1.73%,14.82%,4.16%,18.81%,9.91%,9.60%,10.83%,,,click,click,,,,,,,,,,,,,
DEW,Global Equity Income Fund,2006-06-16,ETF,WisdomTree Global Equity Income Index,"The index is a fundamentally weighted index that measures the performance of high dividend-yielding companies selected from the WisdomTree Global Dividend Index, which measures the performance of dividend-paying companies in the U.S., developed and emerging markets. At the index measurement date, companies with market capitalizations of at least $2 billion are ranked by dividend yield and those companies in the top 30% by dividend yield are selected for inclusion in the Global Equity Income Index.",Global Equities,WisdomTree,0.58%,$0.38,3.67%,$120.20 ,2.6," 	6,416 ", 	(1.21),Equity,,,Global,8.23%,15.98%,3.99%,8.04%,12.04%,22.83%,8.66%,6.21%,2.19%,2.33%,9.40%,,,click,click,,,,,,,,,,,,,
DFE,Europe SmallCap Dividend Fund,2006-06-16,ETF,WisdomTree Europe SmallCap Dividend Index,The WisdomTree Europe SmallCap Dividend Index is a fundamentally weighted index that measures the performance of the small-capitalization segment of the European dividend-paying market. The Index is comprised of the companies that compose the bottom 25% of the market capitalization of the WisdomTree Europe Dividend Index after the 300 largest companies have been removed. Companies are weighted in the Index based on annual cash dividends paid.,Europe Equities,WisdomTree,0.58%,$0.12,2.77%,$610.60 ,10.8," 	211,578 ", 	1.26 ,Equity,Small-Cap,Value,Developed Europe,9.66%,4.29%,14.57%,8.43%,2.33%,12.16%,5.19%,22.75%,3.93%,15.63%,0.60%,,,click,click,,,,,,,,,,,,,
DFJ,Japan SmallCap Fund,2006-06-16,ETF,WisdomTree Japan SmallCap Dividend Index,"The WisdomTree Japan SmallCap Dividend Index measures the performance of dividend-paying small capitalization companies in Japan. After the 300 largest companies have been removed from the WisdomTree Japan Dividend Index, the remaining companies are chosen for inclusion in the Index. Companies are weighted in the Index based on annual cash dividends paid.",Japan Equities,WisdomTree,0.58%,$0.68,2.07%,$280.20 ,5.6," 	31,373 ", 	(1.57),Equity,,,Developed Asia Pacific,12.29%,1.16%,23.44%,11.07%,0.81%,11.25%,4.77%,20.15%,1.39%,12.90%,0.77%,,,click,click,,,,,,,,,,,,,
DGL,DB Gold Fund,2007-01-05,Commodity Pool,DBIQ Optimum Yield Gold Index Excess Return,The DBIQ Optimum Yield Gold Index Excess Return is a rules-based index composed of futures contracts on gold and is intended to reflect the performance of gold.,Precious Metals,Invesco PowerShares,0.79%,$0.81,,$146.60 ,3.6," 	31,791 ", 	(1.94),Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
DGLD,3x Inverse Gold ETN,2011-10-17,ETN,S&P GSCI Gold Index ER (-300%),The index offers exposure to gold futures contracts.,Leveraged Commodities,VelocityShares,1.35%,,,$45.60 ,0.6," 	66,364 ", 	5.52 ,Commodity,,,,,,,,,,,,,,,3x,Yes,click,click,,,,,,,,,,,,,
DGP,DB Gold Double Long ETN,2008-02-27,ETN,Deutsche Bank Liquid Commodity Index-Optimum Yield Gold (200%),The index is designed to reflect the performance of certain gold futures contracts plus the returns from investing in 3 month United States Treasury Bills.,Leveraged Commodities,Invesco PowerShares,0.75%,,,$155.10 ,6.1," 	219,136 ", 	(3.83),Commodity,,,,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
DGRE,WisdomTree Emerging Markets Dividend Growth Fund,2013-08-01,ETF,WisdomTree Emerging Markets Dividend Growth Index,"The index is a fundamentally weighted index that measures the performance of dividend paying stocks with growth characteristics. Ranked by growth and quality factors, the index is comprised of the top 50% of companies in the eligible universe.",Emerging Markets Equities,WisdomTree,0.63%,$0.06,0.26%,$19.50 ,0.8," 	8,390 ", 	(1.97),Equity,,Growth,Emerging Markets,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
DGRS,WisdomTree U.S. SmallCap Dividend Growth Fund,2013-07-25,ETF,WisdomTree U.S. SmallCap Dividend Growth Index,This fundamentally weighted index consists of the small-capitalization segment (the bottom 25%) of dividend-paying stocks with growth characteristics.,Small Cap Blend Equities,WisdomTree,0.38%,$0.03,0.27%,$19.40 ,0.7," 	9,363 ", 	1.33 ,Equity,Small-Cap,Blend,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
DGRW,U.S. Dividend Growth Fund,2013-05-22,ETF,WisdomTree U.S. Dividend Growth Index,"The index is a fundamentally weighted index that consists of dividend-paying stocks with growth characteristics. The Index is comprised of the 300 companies in the WisdomTree Dividend Index with the best combined rank of growth and quality factors. The growth factor ranking is based on long-term earnings growth expectations, while the quality factor ranking is based on three year historical averages for return on equity and return on assets.",Large Cap Value Equities,WisdomTree,0.28%,$0.04,0.70%,$81.60 ,3," 	39,973 ", 	0.96 ,Equity,Large-Cap,Value,North America,4.04%,2.62%,19.32%,16.78%,2.90%,6.04%,7.82%,19.51%,0.02%,20.88%,0.08%,,,click,click,,,,,,,,,,,,,
DGS,Emerging Market SmallCap Fund,2007-10-30,ETF,WisdomTree Emerging Markets SmallCap Dividend Index,The WisdomTree Emerging Markets SmallCap Dividend Index is a fundamentally weighted index that measures the performance of primarily small cap stocks selected from the WisdomTree Emerging Markets Dividend Index. Companies included in the Index fall within the bottom 10% of total market capitalization of the WisdomTree Emerging Markets Dividend Index as of the annual index measurement date.,Emerging Markets Equities,WisdomTree,0.64%,$0.46,3.37%,"$1,726.70 ",38.1," 	180,016 ", 	(1.47),Equity,Small-Cap,Value,Emerging Markets,12.44%,2.25%,16.40%,7.55%,0.91%,14.01%,2.00%,14.13%,9.39%,14.25%,6.44%,,,click,click,,,,,,,,,,,,,
DGT,SPDR Global Dow ETF,2000-09-25,ETF,Global Dow Index,"The index is a 150-stock index of leading blue chip companies from around the world. The Index includes companies with a long history of success and a wide following among investors that are selected by an Averages Committee comprised of the managing editor of The Wall Street Journal, the head of Dow Jones Indexes research and the head of CME Group Research. The Index is equal-weighted and includes companies from developed and emerging economies as well as those from emerging economic sectors.",Foreign Large Cap Equities,State Street SPDR,0.50%,$0.43,2.66%,$103.40 ,1.5," 	5,781 ", 	1.16 ,Equity,Mega-Cap,Blend,Global,6.49%,4.67%,12.94%,6.37%,7.78%,19.33%,10.41%,12.94%,0.00%,12.45%,2.79%,,,click,click,,,,,,,,,,,,,
DGZ,DB Gold Short ETN,2008-02-27,ETN,Deutsche Bank Liquid Commodity Index-Optimum Yield Gold (-100%),The index is designed to reflect the performance of certain gold futures contracts plus the returns from investing in 3 month United States Treasury Bills.,Inverse Commodities,Invesco PowerShares,0.75%,,,$61.50 ,3.9," 	223,536 ", 	1.80 ,Commodity,,,,,,,,,,,,,,,,Yes,click,click,,,,,,,,,,,,,
DHS,Equity Income Fund,2006-06-16,ETF,WisdomTree Equity Income Index,"The WisdomTree Equity Income Index is a fundamentally weighted index that measures the performance of companies with high dividend yields selected from the WisdomTree Dividend Index. At the index measurement date, companies within the WisdomTree Dividend Index with market capitalizations of at least $200 million and average daily trading volumes of at least $200,000 for the prior three months are ranked by dividend yield.",Large Cap Value Equities,WisdomTree,0.38%,$0.15,2.94%,$758.90 ,13.8," 	36,858 ", 	0.89 ,Equity,Large-Cap,Value,North America,3.15%,11.90%,4.52%,14.48%,8.75%,4.59%,15.50%,3.98%,7.36%,12.86%,12.92%,,,click,click,,,,,,,,,,,,,
DIA,Dow Jones Industrial Average ETF,1998-01-13,UIT,Dow Jones Industrial Average,The Dow Jones Industrial Average is a price-weighted index of 30 &quot;blue-chip&quot; U.S. stocks. It is the oldest continuing U.S. market index.,Large Cap Value Equities,State Street SPDR,0.16%,$0.40,2.34%,"$12,700.30 ",77.2," 	6,758,776 ", 	0.94 ,Equity,Mega-Cap,Value,North America,3.10%,4.41%,16.14%,6.02%,10.73%,11.32%,11.60%,21.09%,0.00%,15.37%,0.00%,,,click,click,,,,,,,,,,,,,
DIG,Ultra Oil & Gas,2007-01-30,ETF,Dow Jones U.S. Oil & Gas Index (200%),"ProShares Ultra Oil &amp; Gas seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Dow Jones U.S. Oil &amp; Gas Index",Leveraged Equities,ProShares,0.95%,$0.04,0.44%,$146.00 ,2.1," 	61,170 ", 	2.42 ,Equity,,,North America,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
DIM,International MidCap Dividend Fund,2006-06-16,ETF,WisdomTree International MidCap Dividend Index,The WisdomTree International MidCap Dividend Index is a fundamentally weighted index that measures the performance of the mid-capitalization segment of the dividend-paying market in the industrialized world outside the U.S. and Canada. The Index is comprised of the companies that compose the top 75% of the market capitalization of the WisdomTree DEFA Index after the 300 largest companies have been removed.,Foreign Small &amp; Mid Cap Equities,WisdomTree,0.58%,$0.34,3.25%,$136.90 ,2.4," 	7,166 ", 	1.12 ,Equity,Mid-Cap,Value,Developed Markets,10.15%,7.98%,12.77%,7.51%,2.44%,15.70%,4.20%,23.78%,4.35%,5.18%,5.83%,,,click,click,,,,,,,,,,,,,
DIV,SuperDividend U.S. ETF,2013-03-12,ETF,INDXX SuperDividend U.S. Low Volatility Index,"The index tracks the performance of 50 equally weighted common stocks, MLPs and REITs that rank among the highest dividend yielding equity securities in the United States, as defined by INDXX, LLC. The components of the index will have also paid dividends consistently over the last two years. The index is comprised of securities that INDXX, LLC determines to have lower relative volatility than the market.",Large Cap Value Equities,Global X,0.45%,$0.13,4.89%,$55.70 ,2.2," 	22,303 ", 	0.92 ,Equity,Large-Cap,Value,North America,3.97%,9.87%,4.72%,8.51%,13.93%,0.00%,6.68%,4.17%,21.01%,2.52%,24.34%,,,click,click,,,,,,,,,,,,,
DIVS,Small Cap High Dividend Yield ETF,2012-03-15,ETF,Russell U.S. Small Cap High Dividend Yield Index,"The index is designed to select securities with high dividend yields. The index includes securities in the Russell 2000 Index with high dividend yields and quality characteristics such as dividend growth, earnings stability and sustained profitability.",Small Cap Value Equities,Russell,0.38%,$0.21,1.58%,$2.50 ,0.1," 	1,533 ", 	1.36 ,Equity,Small-Cap,Value,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
DJP,Dow Jones-UBS Commodity Index TR ETN,2006-06-06,ETN,Dow Jones-UBS Commodity Index Total Return,The Index is currently composed of futures contracts on a diversified basket of commodities traded on U.S. exchanges.,Commodities,Barclays iPath,0.75%,,,"$1,866.90 ",50.3," 	590,455 ", 	0.69 ,Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
DLN,LargeCap Dividend Fund,2006-06-16,ETF,WisdomTree LargeCap Dividend Index,The WisdomTree LargeCap Dividend Index is a fundamentally weighted index that measures the performance of the large-capitalization segment of the U.S. dividend-paying market. The Index is comprised of the 300 largest companies ranked by market capitalization from the WisdomTree Dividend Index.,Large Cap Value Equities,WisdomTree,0.28%,$0.14,2.26%,"$1,771.00 ",26.7," 	76,236 ", 	0.92 ,Equity,Large-Cap,Value,North America,3.30%,7.09%,8.97%,13.84%,10.74%,10.71%,11.92%,10.76%,3.13%,13.89%,5.65%,,,click,click,,,,,,,,,,,,,
DLS,International SmallCap Fund,2006-06-16,ETF,WisdomTree International SmallCap Dividend Index,The WisdomTree International SmallCap Dividend Index is a fundamentally weighted index that measures the performance of the small-capitalization segment of the dividend-paying market in the industrialized world outside the U.S. and Canada. The Index is comprised of the companies that compose the bottom 25% of the market capitalization of the WisdomTree DEFA Index after the 300 largest companies have been removed.,Foreign Small &amp; Mid Cap Equities,WisdomTree,0.58%,$0.33,3.72%,$782.10 ,12.7," 	54,497 ", 	1.00 ,Equity,Small-Cap,Value,Developed Markets,10.98%,3.62%,19.54%,7.76%,1.82%,10.63%,3.31%,22.46%,6.04%,11.06%,1.84%,,,click,click,,,,,,,,,,,,,
DNL,Global ex-U.S. Growth Fund,2006-06-16,ETF,WisdomTree World ex-US Growth Index,"The WisdomTree World ex-US Growth Index is a fundamentally weighted index that measures the performance of growth companies in the developed and emerging markets outside of the United States. The index consists of dividend paying companies that pass WisdomTree's market capitalization, liquidity, and other requirements. WisdomTree creates a &quot;growth&quot; score for each company based on the company's earnings per share, sales per share, book value per share and price per share. The top 30% of companies with the highest growth scores within the 1000 largest companies by market capitalization are included in the Index.",Global Equities,WisdomTree,0.60%,$0.27,2.51%,$60.60 ,1.2," 	8,197 ", 	1.03 ,Equity,,Growth,Global ex-U.S.,10.95%,8.14%,16.39%,19.90%,5.69%,5.39%,10.79%,11.45%,2.09%,7.79%,1.41%,,,click,click,,,,,,,,,,,,,
DOG,Short Dow30,2006-06-19,ETF,Dow Jones Industrial Average Index (-100%),The Dow Jones Industrial Average is a price-weighted index of 30 &quot;blue-chip&quot; U.S. stocks. It is the oldest continuing U.S. market index.,Inverse Equities,ProShares,0.95%,$8.74,,$258.00 ,9.8," 	412,814 ", 	(0.95),Equity,Large-Cap,Blend,North America,,,,,,,,,,,,,Yes,click,click,,,,,,,,,,,,,
DOL,International LargeCap Dividend Fund,2006-06-16,ETF,WisdomTree International LargeCap Dividend Index,The WisdomTree International LargeCap Dividend Index is a fundamentally weighted index that measures the performance of the large-capitalization segment of the dividend-paying market in the industrialized world outside the U.S. and Canada.,Foreign Large Cap Equities,WisdomTree,0.48%,$0.29,3.16%,$293.10 ,5.7," 	19,453 ", 	1.18 ,Equity,Large-Cap,Blend,Developed Markets,6.09%,12.17%,8.04%,11.72%,11.45%,23.90%,9.98%,7.14%,1.14%,1.63%,6.73%,,,click,click,,,,,,,,,,,,,
DON,MidCap Dividend Fund,2006-06-16,ETF,WisdomTree MidCap Dividend Index,The WisdomTree MidCap Dividend Index is a fundamentally weighted index that measures the performance of the mid-capitalization segment of the US dividend-paying market. The Index is comprised of the companies that compose the top 75% of the market capitalization of the WisdomTree Dividend Index after the 300 largest companies have been removed.,Mid Cap Value Equities,WisdomTree,0.38%,$0.16,2.34%,$910.80 ,12.3," 	50,661 ", 	1.04 ,Equity,Mid-Cap,Value,North America,6.29%,3.26%,19.32%,5.84%,2.50%,13.70%,1.69%,13.40%,12.10%,5.67%,16.24%,,,click,click,,,,,,,,,,,,,
DOO,International Dividend ex-Financials Fund,2006-06-16,ETF,WisdomTree International Dividend ex-Financials Index,"WisdomTree International Dividend ex-Financials Index measures the performance of high dividend-yielding international stocks outside the financial sector. The index consists primarily of large- and mid-capitalization companies incorporated in Europe, Japan, Australia, New Zealand, Hong Kong and Singapore that pass WisdomTree Investments market capitalization, liquidity and selection requirements.",Foreign Large Cap Equities,WisdomTree,0.58%,$0.31,3.60%,$347.90 ,7.4," 	31,067 ", 	(1.18),Equity,Large-Cap,Value,Developed Markets,10.32%,16.73%,9.30%,10.79%,11.72%,0.07%,9.40%,11.79%,0.00%,3.11%,16.77%,,,click,click,,,,,,,,,,,,,
DRN,Daily Real Estate Bull 3x Shares,2009-07-16,ETF,MSCI US REIT Index (300%),The index is a free float market capitalization weighted benchmark that is comprised of equity REIT securities that belong to the MSCI US Investable Market 2500 Index.,Leveraged Real Estate,Direxion,0.95%,$0.01,0.02%,$127.80 ,3.4," 	179,197 ", 	(4.13),Real Estate,,,North America,,,,,,,,,,,,3x,,click,click,,,,,,,,,,,,,
DRV,Daily Real Estate Bear 3x Shares,2009-07-16,ETF,MSCI US REIT Index (-300%),The index is a free float market capitalization weighted benchmark that is comprised of equity REIT securities that belong to the MSCI US Investable Market 2500 Index.,Leveraged Real Estate,Direxion,0.95%,,,$13.30 ,0.2," 	42,464 ", 	4.01 ,Real Estate,,,North America,,,,,,,,,,,,3x,Yes,click,click,,,,,,,,,,,,,
DRW,Global ex-US Real Estate Fund,2007-06-05,ETF,WisdomTree Global ex-US Real Estate Index,The Global ex-US Real Estate Index is a fundamentally weighted index that measures the performance of companies from developed and emerging markets outside of the United States that are classified as being part of the global real estate sector. The index is comprised of real estate companies with market capitalizations greater than $1 billion. Companies are weighted in the index based on regular cash dividends paid. The index includes the following types of companies: real estate operating companies; real estate development companies; and diversified real estate investment trusts or REITs. The index also includes companies that may be classified as Passive Foreign Investment Companies (PFICs).,Global Real Estate,WisdomTree,0.58%,$0.26,10.68%,$129.00 ,4.8," 	18,381 ", 	(1.29),Real Estate,,,Global ex-U.S.,0.00%,0.00%,0.95%,0.00%,0.00%,1.35%,0.00%,0.81%,96.66%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
DSI,KLD 400 Social Index Fund,2006-11-14,ETF,MSCI KLD 400 Social Index,"The index is a float-adjusted market capitalization index designed to measure the equity performance of U.S. companies that have positive environmental, social, and governance characteristics.",Large Cap Blend Equities,iShares,0.50%,$0.25,1.27%,$302.50 ,4.4," 	22,650 ", 	1.04 ,Equity,Large-Cap,Blend,North America,3.10%,2.01%,13.11%,12.75%,4.90%,11.31%,15.41%,8.52%,3.56%,23.62%,1.50%,,,click,click,,,,,,,,,,,,,
DSLV,3x Inverse Silver ETN,2011-10-17,ETN,S&P GSCI Silver Index ER (-300%),The index offers exposure to silver futures contracts.,Leveraged Commodities,VelocityShares,1.65%,,,$19.10 ,0.4," 	127,277 ", 	8.47 ,Commodity,,,,,,,,,,,,,,,3x,Yes,click,click,,,,,,,,,,,,,
